,name,states,transitions,encoding,time,lower_reachability_value,lower_importance_value,upper_reachability_value,upper_importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07855606079101562,0.81,1.0,0.81,1.0,q0: start,q7: vpcCreateUserOnInstance,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02791595458984375,0.81,1.0,0.81,1.0,q0: start,q7: vpcCreateUserOnInstance,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06780195236206055,0.81,1.0,0.81,1.0,q0: start,q24: Taskevent2,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02489304542541504,0.81,1.0,0.81,1.0,q0: start,q24: Taskevent2,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07658600807189941,0.81,0.256,0.81,0.256,q0: start,q62: companysubjectAcceptanceReceived,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02735304832458496,0.81,0.256,0.81,0.256,q0: start,q62: companysubjectAcceptanceReceived,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.08557415008544922,0.81,1.0,0.81,1.0,q0: start,q23: customerGivefeedback1,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.026050090789794922,0.81,1.0,0.81,1.0,q0: start,q23: customerGivefeedback1,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07113790512084961,0.81,0.0,0.81,0.0,q0: start,q26: negative,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.027080774307250977,0.81,0.0,0.81,0.0,q0: start,q26: negative,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06238198280334473,0.81,0.619,0.81,0.619,q0: start,q35: customerTaskevent4,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02686905860900879,0.81,0.619,0.81,0.619,q0: start,q35: customerTaskevent4,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.061274051666259766,0.81,0.97,0.81,0.97,q0: start,q6: companyregistered,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.026523828506469727,0.81,0.97,0.81,0.97,q0: start,q6: companyregistered,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.08625197410583496,0.81,1.0,0.81,1.0,q0: start,q12: companyreadyToStart,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02531123161315918,0.81,1.0,0.81,1.0,q0: start,q12: companyreadyToStart,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07712006568908691,0.81,1.0,0.81,1.0,q0: start,q29: Taskevent3,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02427506446838379,0.81,1.0,0.81,1.0,q0: start,q29: Taskevent3,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07010817527770996,0.81,0.381,0.81,0.381,q0: start,q34: companyTaskevent4,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.029983997344970703,0.81,0.381,0.81,0.381,q0: start,q34: companyTaskevent4,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.2772972583770752,0.81,0.029,0.81,0.029,q0: start,q21: companyTaskevent0,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.030434846878051758,0.81,0.029,0.81,0.029,q0: start,q21: companyTaskevent0,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07007598876953125,0.81,0.619,0.81,0.619,q0: start,q45: companywaitingForResultApproval,q52: positive,36000,2
