,model,query,nesting,value,model_checking_time,model_construction_time,name,timeout
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=44 & ((X( loc=90 & ((X( loc=96 & ((X( loc=100 & ((X( loc=867 & ((X( loc=880 & ((X( loc=281 & (X( loc=283 ))))))))))))))))))))))))))]",9,1.2469412425875038E-5,15.567,14.314,random_path,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=1116] ,0,0.7392265139260469,3.572,9.556,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=21 & ((X( loc=67 & ((X( loc=97 & ((X( loc=101 & ((X( loc=306 & ((X( loc=368 & ((X( loc=281 & (X( loc=283 ))))))))))))))))))))))))))]",9,0.0021322695248246317,17.442,12.495,random_path,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=1436] ,0,0.7392265139260469,3.097,10.285,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=46 & ((X( loc=92 & ((X( loc=96 & ((X( loc=100 & ((X( loc=758 & ((X( loc=767 & ((X( loc=281 & (X( loc=283 ))))))))))))))))))))))))))]",9,2.4938824851750075E-5,17.085,13.13,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=28 )))))]",2,0.006453200203971657,16.078,12.963,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,14.406,14.506,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=15 & ((X( loc=61 & ((X( loc=96 & ((X( loc=100 & (X( loc=1263 )))))))))))))))))]",6,3.813773902839476E-5,15.963,12.4,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,15.41,14.568,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=36 & ((X( loc=82 & ((X( loc=96 & ((X( loc=100 & ((X( loc=952 & ((X( loc=971 & ((X( loc=280 & (X( loc=282 ))))))))))))))))))))))))))]",9,1.2712579676131587E-5,18.475,12.892,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=6 )))))]",2,0.012917132587941103,15.273,14.128,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=11 & ((X( loc=57 & ((X( loc=97 & ((X( loc=101 & ((X( loc=312 & ((X( loc=374 & (X( loc=280 )))))))))))))))))))))))]",8,0.003726601927917431,18.384,13.36,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=27 & ((X( loc=73 & ((X( loc=97 & (X( loc=101 ))))))))))))))]",5,0.006521553373855504,15.95,13.118,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=11 & ((X( loc=57 & ((X( loc=95 & (X( loc=99 ))))))))))))))]",5,0.013043106747711008,15.587,13.333,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=12 & ((X( loc=58 & ((X( loc=96 & ((X( loc=100 & (X( loc=674 )))))))))))))))))]",6,7.5254175605712E-5,15.58,13.263,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=30 )))))]",2,0.03892962682348038,15.329,14.366,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=26 & (X( loc=72 ))))))))]",3,0.012980119667826057,16.359,13.72,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=17 & ((X( loc=63 & ((X( loc=94 & ((X( loc=98 & ((X( loc=621 & ((X( loc=642 & ((X( loc=281 & (X( loc=283 ))))))))))))))))))))))))))]",9,6.023360239617603E-6,16.534,12.224,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=16 )))))]",2,0.019501673041681558,17.547,13.272,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=11 )))))]",2,0.026023226415537063,17.223,13.523,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=3 & (X( loc=49 ))))))))]",3,0.012911766497942208,16.917,13.724,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=15 & ((X( loc=61 & ((X( loc=96 & (X( loc=100 ))))))))))))))]",5,0.01937569888191165,16.922,13.259,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=16 & ((X( loc=62 & ((X( loc=95 & ((X( loc=99 & ((X( loc=172 & ((X( loc=261 & ((X( loc=281 & (X( loc=283 ))))))))))))))))))))))))))]",9,0.0015992021436184735,17.008,12.219,actual_path,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=1466] ,0,0.01098679388555198,7.357,9.886,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=18 & ((X( loc=64 & ((X( loc=95 & ((X( loc=99 & ((X( loc=691 & ((X( loc=714 & (X( loc=281 )))))))))))))))))))))))]",8,0.004264539049649263,17.188,12.937,actual_path,600
0,out/models/model_spotify100_model-it_1.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=859)]",0,0.5695413792521937,8.276,10.731,avoid_state,600
0,out/models/model_spotify100_model-it_1.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=326)]",0,0.06808570563378147,8.975,8.956,avoid_state,600
0,out/models/model_spotify100_model-it_1.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=919)]",0,0.014681423958477467,9.675,9.281,avoid_state,600
0,out/models/model_spotify100_model-it_1.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1206)]",0,0.577595842293774,9.132,9.749,avoid_state,600
0,out/models/model_spotify100_model-it_1.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=451)]",0,0.007518293602939708,10.007,9.264,avoid_state,600
0,out/models/model_spotify100_model-it_1.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=13)]",0,0.006792226695636925,8.971,9.621,avoid_state,600
